EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,n,r_value,Fishers_Z_r,variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined
42,20,Bos_taurus,1,infant_survival,164,0.858732566,0.709541973,0.006097561,28,Captive,27,20,Categorical,Agonism
43,20,Bos_taurus,1,lifetime_reproductive_success,96,0.781277037,0.663219782,0.010416667,28,Captive,19,20,Continuous,Agonism
44,20,Bos_taurus,1,infant_production,147,0.043184769,0.043157954,0.006802721,28,Captive,3.2,20,Continuous,Agonism
45,20,Bos_taurus,1,infant_production,147,0.737514829,0.635462597,0.006802721,28,Captive,3.2,20,Continuous,Agonism
46,20,Bos_taurus,1,infant_survival,60,0.745019178,0.640305754,0.016666667,28,Captive,3.2,20,Categorical,Agonism
31,13,Canis_familiaris,2,survival,707,0.70113392,0.611486579,0.001414427,21,Wild,23,13,Continuous,Other
50,23,Canis_rufus,3,infant_survival,556,0.835118299,0.695790774,0.001798561,25,Wild,23,23,Categorical,Agonism
51,23,Canis_rufus,3,infant_production,754,0.5273724,0.48530498,0.00132626,25,Wild,23,23,Continuous,Agonism
30,12,Cebus_capucinus,4,infant_production,17,0.646943676,0.574223661,0.058823529,13,Wild,17,12,Continuous,Agonism
29,11,Ceratotherium_simum,5,interbirth_interval,11,0.060758745,0.060684144,0.090909091,24,Wild,17,11,Continuous,Agonism
38,19,Cervus_elaphus,6,survival,17,0.763170288,0.651876946,0.058823529,28,Wild,17,19,Categorical,Agonism
39,19,Cervus_elaphus,6,infant_production,53,0.493500186,0.45843425,0.018867925,28,Wild,3.5,19,Continuous,Agonism
40,19,Cervus_elaphus,6,infant_production,324,0.617200914,0.552971316,0.00308642,28,Wild,81,19,Continuous,Agonism
41,19,Cervus_elaphus,6,infant_survival,324,0.514982802,0.47556188,0.00308642,28,Wild,81,19,Continuous,Agonism
1,1,Crocuta_crocuta,7,infant_survival,47,0.880317781,0.721833915,0.021276596,26,Wild,22.5,1,Categorical,Agonism
2,1,Crocuta_crocuta,7,interbirth_interval,47,0.426169222,0.402860572,0.021276596,26,Wild,22.5,1,Continuous,Agonism
33,15,Equus_caballus,8,infant_production,53,0.028265926,0.028258402,0.018867925,30,Wild,6.9,15,Continuous,Agonism
34,15,Equus_caballus,8,infant_production,41,0.520333069,0.479781432,0.024390244,30,Wild,6.9,15,Categorical,Agonism
49,22,Heterocephalus_glaber,9,infant_survival,25,0.122414951,0.121808911,0.04,3,Captive,6.9,22,Categorical,Agonism
52,24,Lycaon_pictus,10,infant_production,35,0.114745337,0.114245681,0.028571429,27,Wild,11,24,Continuous,Agonism
53,24,Lycaon_pictus,10,infant_survival,35,0.391550366,0.373201054,0.028571429,27,Wild,11,24,Continuous,Agonism
13,5,Macaca_fuscata,11,infant_production,20,0.993174304,0.781973642,0.05,20,Wild,2,5,Categorical,Agonism
14,5,Macaca_fuscata,11,infant_production,14,0.967888131,0.769081677,0.071428571,20,Wild,2,5,Categorical,Agonism
55,25,Macaca_fuscata,11,infant_production,138,0.487028295,0.453216498,0.007246377,21,Wild,2,25,Categorical,Agonism
56,25,Macaca_fuscata,11,infant_production,104,0.699394743,0.610319636,0.009615385,21,Wild,11.6,25,Continuous,Agonism
57,25,Macaca_fuscata,11,infant_production,31,0.730109416,0.630649132,0.032258065,21,Wild,3.4,25,Categorical,Agonism
6,3,Macaca_mulatta,12,infant_survival,69,0.355127057,0.341235032,0.014492754,14,Captive,11.6,3,Continuous,Agonism
7,3,Macaca_mulatta,12,infant_survival,28,0.882111371,0.722843513,0.035714286,14,Captive,3.4,3,Categorical,Agonism
8,3,Macaca_mulatta,12,infant_production,36,0.632405153,0.563906655,0.027777778,14,Captive,3.75,3,Categorical,Agonism
12,5,Macaca_mulatta,12,infant_survival,75,0.544270228,0.498433513,0.013333333,11,Wild,8,5,Continuous,Agonism
15,6,Macaca_mulatta,12,infant_production,6,0.734549063,0.633538953,0.166666667,29,Wild,6,5,Categorical,Agonism
16,6,Macaca_mulatta,12,infant_survival,260,0.680252908,0.597349578,0.003846154,29,Wild,19,5,Categorical,Agonism
25,10,Macaca_mulatta,12,infant_production,56,0.999111612,0.784953772,0.017857143,29,Wild,4,5,Categorical,Agonism
26,10,Macaca_mulatta,12,infant_survival,56,0.136218682,0.135385403,0.017857143,29,Wild,4,5,Categorical,Agonism
27,10,Macaca_mulatta,12,infant_production,229,0.140255448,0.13934647,0.004366812,29,Wild,17.5,5,Categorical,Agonism
28,10,Macaca_mulatta,12,survival,204,0.437094723,0.412070224,0.004901961,29,Wild,14.1,5,Categorical,Other
37,18,Macaca_mulatta,12,survival,871,0.26997008,0.263683947,0.001148106,17,Wild,55,18,Categorical,Other
54,26,Macaca_mulatta,12,infant_production,96,0.824576197,0.689547823,0.010416667,2,Wild,26.7,26,Continuous,Agonism
32,14,Macaca_nigra,13,infant_production,94,0.84345791,0.700683761,0.010638298,19,Wild,26.7,14,Continuous,Agonism
22,9,Mesocricetus_auratus,14,infant_production,102,0.85340898,0.706469826,0.009803922,12,Captive,26.7,9,Categorical,Agonism
23,9,Mesocricetus_auratus,14,infant_production,74,0.281789628,0.274667452,0.013513514,12,Captive,26.7,9,Categorical,Agonism
24,9,Mesocricetus_auratus,14,infant_production,309,0.662201082,0.58490467,0.003236246,12,Captive,34,9,Continuous,Agonism
20,8,Mungos_mungo,15,infant_production,186,0.115764077,0.115251065,0.005376344,18,Wild,34,8,Categorical,Other
21,8,Mungos_mungo,15,infant_production,309,0.698464153,0.609694451,0.003236246,18,Wild,34,8,Continuous,Other
35,16,Odocoileus_virginianus,16,infant_production,160,0.711632785,0.618490611,0.00625,14,Wild,34,16,Continuous,Agonism
47,21,Oryctolagus_cuniculus,17,survival,179,0.508396421,0.470342161,0.005586592,18,Wild,34,21,Continuous,Agonism
48,21,Oryctolagus_cuniculus,17,infant_production,3,0.003205867,0.003205856,0.333333333,18,Wild,3,21,Categorical,Agonism
36,17,Papio_cynocephalus,18,infant_survival,31,0.282293825,0.275134497,0.032258065,10,Wild,3,17,Continuous,Agonism
9,4,Papio_ursinus,19,infant_production,183,0.567317991,0.516041882,0.005464481,8,Wild,61,4,Continuous,Agonism
10,4,Papio_ursinus,19,infant_production,26,0.474506168,0.443045337,0.038461538,8,Wild,3.25,4,Categorical,Agonism
11,4,Papio_ursinus,19,infant_production,18,0.907999422,0.737217134,0.055555556,8,Wild,3.6,4,Categorical,Agonism
3,2,Propithecus_verreauxi,20,infant_production,8,0.042778507,0.042752441,0.125,6,Wild,2,2,Categorical,Other
4,2,Propithecus_verreauxi,20,infant_survival,7,0.628530856,0.56113433,0.142857143,6,Wild,2,2,Continuous,Other
5,2,Propithecus_verreauxi,20,infant_production,31,0.572666533,0.520078849,0.032258065,6,Wild,3.5,2,Categorical,Agonism
17,7,Semnopithecus_schistaceus,21,infant_production,81,0.879983515,0.72164556,0.012345679,18,Wild,54,7,Categorical,Agonism
18,7,Semnopithecus_schistaceus,21,infant_production,134,0.610525133,0.548122646,0.007462687,18,Wild,86,7,Categorical,Agonism
19,7,Semnopithecus_schistaceus,21,infant_survival,48,0.120058401,0.119486498,0.020833333,18,Wild,54,7,Continuous,Agonism
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
