EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,StudyRef,Latin,Reference
1,11,Cervus_elaphus,10,age_at_first_conception,112,0.381613382,0.4001,0.0092,11,Wild,5.32,Rhum_Scotland,Continuous,Agonism,11,Cervus_elaphus,https://www.nature.com/articles/308358a0.pdf
2,8,Crocuta_crocuta,8,age_at_first_conception,19,0.608,0.7057,0.0625,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
3,31,Macaca_arctoides,24,age_at_first_conception,8,0.033591679,0.034,0.2,4,Captive,56,Organon_Netherlands,Categorical,Agonism,31,Macaca_arctoides,https://link.springer.com/content/pdf/10.1007/BF02693697.pdf
4,1,Macaca_fuscata,1,age_at_first_conception,10,0.681,0.831,0.1429,8,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,http://www.sciencedirect.com/science/article/pii/S0003347282802042
5,33,Macaca_fuscata,1,age_at_first_conception,36,0.073498126,0.0731,0.0303,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
6,33,Macaca_fuscata,1,age_at_first_conception,18,0.13293189,0.1337,0.0667,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
7,33,Macaca_fuscata,1,age_at_first_conception,18,0.136235549,0.1371,0.0667,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
8,26,Macaca_mulatta,20,age_at_first_conception,39,0.3226,0.3346,0.0264,10,Captive,56,LaParguera_PuertoRico,Categorical,Agonism,26,Macaca_mulatta,sci-hub.se/10.1159/000155596
9,36,Mandrillus_sphinx,17,age_at_first_conception,43,0.598,0.69,0.025,19,Captive,48.5,CIRMF_Gabon,Categorical,Agonism,36,Mandrillus_sphinx,https://link.springer.com/article/10.1007/s00265-005-0946-2
10,14,Papio_cynocephalus,14,age_at_first_conception,6,0.4669,0.5061,0.333,6,Wild,20.5,Gilgil_Kenya,Categorical,Agonism,14,Papio_cynocephalus,https://link.springer.com/content/pdf/10.1007%2FBF00172929.pdf
11,15,Papio_cynocephalus,14,age_at_first_conception,46,0.27,0.2769,0.0233,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
12,13,Rangifer_tarandus,13,age_at_first_conception,49,0.2865,0.2947,0.0217,3,Captive,45,Kutuharju_Finland,Continuous,Agonism,13,Rangifer_tarandus,https://link.springer.com/article/10.1007/s00265-004-0827-0
13,6,Callithrix_jacchus,6,infant_production,6,0.3739,0.3929,0.3333,3,Wild,2,Flona_Brazil,Categorical,Other,6,Callithrix_jacchus,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.20168
14,29,Chlorocebus_aethiops,23,infant_production,71,0.31,0.3205,0.0147,8,Captive,9,Sepulveda_USA,Continuous,Agonism,29,Chlorocebus_aethiops,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350070106
15,29,Chlorocebus_aethiops,23,infant_production,71,0.25,0.2554,0.0147,8,Captive,9,Sepulveda_USA,Continuous,Agonism,29,Chlorocebus_aethiops,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350070106
16,8,Crocuta_crocuta,8,infant_production,106,0.016981706,0.017,0.0097,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
17,8,Crocuta_crocuta,8,infant_production,37,0.592,0.6807,0.0294,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
