,EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,LitterSize,LittersPerYear,CooperativeBreeding,PluralBreeding,AssociatedBreeding,DominanceSystem,Philopatry,DietCategory,EnvironmentalHarshness,PopulationDensity,AverageRelatedness,CoalitionFormation,maleinfanticide,sexratio_socialgroup,SexualDimorphism_Weight,BreedingSystem,SpeciesIncluded,MaximumLifespan,Reference_DominanceSucccess,Reference_DominanceSucccess_doi,Reference_DominanceSystem,Reference_DominanceSystem_doi,Reference_Relatedness,Reference_Relatedness_doi
1,1,11,Cervus_elaphus,10,age_at_first_conception,112,0.381613382,0.4001,0.0092,11,Wild,5.32,Rhum_Scotland,Continuous,Agonism,1,0.9,0,0,1,Age,FemalePhilopatry,Herbivore,1.98000318,2.9,0.06,Yes,NA,0.2,1.786038431,3,Cervus_elaphus,2.534305387,https://www.nature.com/articles/308358a0.pdf,10.1038/308358a0,https://sci-hub.tw/10.1111/j.1439-0310.1983.tb01341.x,10.1111/j.1439-0310.1983.tb01341.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2005.02692.x,10.1111/j.1365-294X.2005.02692.x
2,2,8,Crocuta_crocuta,8,age_at_first_conception,19,0.608,0.7057,0.0625,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,1.4,1,0,1,0,Nepotism,FemalePhilopatry,Carnivore,0.07915992,0.1,0.1,Yes,0,0.504424779,0.74139999,2,Crocuta_crocuta,2.692935003,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml,10.1530/jrf.0.1080229,10.1023/A:1027352517231,10.1023/A:1027352517231,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-294X.2003.02071.x,10.1046/j.1365-294X.2003.02071.x
3,3,31,Macaca_arctoides,24,age_at_first_conception,8,0.033591679,0.034,0.2,4,Captive,56,Organon_Netherlands,Categorical,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,-0.6898891,NA,NA,Yes,0,0.318181818,1.45208434,2,Macaca_arctoides,2.243534102,https://link.springer.com/content/pdf/10.1007/BF02693697.pdf,10.1007/BF02693697,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,NA,NA
4,4,1,Macaca_fuscata,1,age_at_first_conception,10,0.681,0.831,0.1429,8,Captive,62,Laredo_USA,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.03,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,http://www.sciencedirect.com/science/article/pii/S0003347282802042,10.1016/S0003-3472(82)80204-2,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://link.springer.com/article/10.1007/BF01541200,10.1007/BF01541200
5,5,33,Macaca_fuscata,1,age_at_first_conception,36,0.073498126,0.0731,0.0303,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.04375,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf,10.1007/BF02573082,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/193619/1/679448.pdf,10.1086/679448
6,6,33,Macaca_fuscata,1,age_at_first_conception,18,0.13293189,0.1337,0.0667,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.04375,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf,10.1007/BF02573082,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/193619/1/679448.pdf,10.1086/679448
7,7,33,Macaca_fuscata,1,age_at_first_conception,18,0.136235549,0.1371,0.0667,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.04375,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf,10.1007/BF02573082,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/193619/1/679448.pdf,10.1086/679448
8,8,26,Macaca_mulatta,20,age_at_first_conception,39,0.3226,0.3346,0.0264,10,Captive,56,LaParguera_PuertoRico,Categorical,Agonism,1,0.7,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.61016059,11.1,NA,Yes,0,0.266666667,1.343126359,2,Macaca_mulatta,2.567614443,sci-hub.se/10.1159/000155596,10.1159/000155596,https://link.springer.com/content/pdf/10.1007%2FBF02547673.pdf,10.1007/BF02547673,NA,NA
9,9,36,Mandrillus_sphinx,17,age_at_first_conception,43,0.598,0.69,0.025,19,Captive,48.5,CIRMF_Gabon,Categorical,Agonism,1,0.8,0,1,0,Nepotism,NA,Omnivore,NA,21.4,NA,Yes,NA,NA,2.449784349,2,Mandrillus_sphinx,2.617524535,https://link.springer.com/article/10.1007/s00265-005-0946-2,10.1007/s00265-005-0946-2,https://link.springer.com/content/pdf/10.1023/A:1013245707228.pdf,NA,NA,NA
10,10,14,Papio_cynocephalus,14,age_at_first_conception,6,0.4669,0.5061,0.333,6,Wild,20.5,Gilgil_Kenya,Categorical,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,5.9,NA,Yes,1,0.25,2.06,2,Papio_cynocephalus,1.653212514,https://link.springer.com/content/pdf/10.1007%2FBF00172929.pdf,10.1007%2FBF00172929,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,NA,NA
11,11,15,Papio_cynocephalus,14,age_at_first_conception,46,0.27,0.2769,0.0233,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,5.9,0.04,Yes,1,0.25,2.06,2,Papio_cynocephalus,1.653212514,https://link.springer.com/article/10.1007/s00265-004-0797-2,10.1007/s00265-004-0797-2,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://sci-hub.st/10.1002/ajp.1350160202,10.1002/ajp.1350160202
