"","Identifier","Species","Reference effect size","Reference dominance system","Reference relatedness"
"1",1,"Cervus_elaphus","(Clutton-Brock, Albon, and Guinness, 1984)","(HALL, 2010)","(NUSSEY, COLTMAN, COULSON, et al., 2005)"
"2",2,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"3",3,"Macaca_arctoides","(Nieuwenhuijsen, Lammers, de
Neef, et al., 1985)","(HOLEKAMP and SMALE, 1991)",NA
"4",4,"Macaca_fuscata","(Gouzoules, Gouzoules, and Fedigan, 1982)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"5",5,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"6",6,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"7",7,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"8",8,"Macaca_mulatta","(Drickamer, 1974)","(Deutsch and Lee, 1991)",NA
"9",9,"Mandrillus_sphinx","(Setchell, Charpentier, and Wickings, 2005)","(Setchell et al. 2002)",NA
"10",10,"Papio_cynocephalus","(, 2021)","(Packer, Collins, Sindimwo, and Goodall, 1995)",NA
"11",11,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"12",12,"Rangifer_tarandus","(Holand, Weladji, Gj�stein, et al., 2004)","(Holand, Gjøstein, Losvar, Kumpula, Smith, Røed, Nieminen, and Weladji, 2004)","(Djaković, Holand, Hovland, et al., 2011)"
"13",13,"Callithrix_jacchus","(Sousa, da
Rocha Albuquerque, da
Silva Albuquerque, et al., 2005)","(Digby, 1995)","(nievergelt2000genetic)"
"14",14,"Chlorocebus_aethiops","(Fairbanks and McGuire, 1984)","(HOLEKAMP and SMALE, 1991)","(Fairbanks, Jorgensen, Bailey, et al., 2011)"
"15",15,"Chlorocebus_aethiops","(Fairbanks and McGuire, 1984)","(HOLEKAMP and SMALE, 1991)","(Fairbanks, Jorgensen, Bailey, et al., 2011)"
"16",16,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"17",17,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"18",18,"Lemur_catta","(Takahata, Koyama, Ichino, Miyamoto, Nakamichi, and Soma, 2007)","(Taylor and Sussman, 1985)","(Parga, Sauther, Cuozzo, Youssouf Jacky, Gould, Sussman, Lawler, and Pastorini, 2015)"
"19",19,"Macaca_fuscata","(Gouzoules, Gouzoules, and Fedigan, 1982)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
